geometria analitica                    - engenharia de materiais   - 24m23  - 03
algebra linear                         - engenharia de producao    - 24m45  - 03
edo                                    - engenharia de materiais   - 24m23  - 03
calculo numerico                       - engenharia de producao    - 24m45  - 03
inferencia                             - engenharia de producao    - 24m23  - 03
probabilidade e estatistica a          - engenharia de materiais   - 24m45  - 03
calculo 1a                             - engenharia de materiais   - 246t12 - 03
calculo 1a                             - geologia                  - 246t34 - 03
calculo 2a                             - engenharia de producao    - 246t12 - 03
calculo 2a                             - engenharia de transportes - 246t34 - 03
calculo 1a                             - engenharia eletrica       - 246m12 - 01
calculo 1a                             - engenharia de computacao  - 246m34 - 01
edo                                    - engenharia civil          - 24m12  - 01
edo                                    - engenharia eletrica       - 24m34  - 01
edo                                    - engenharia de computacao  - 24m56  - 01
calculo 2a                             - engenharia civil          - 246m12 - 01
algebra linear                         - engenharia civil          - 24m34  - 01
calculo 3a                             - engenharia eletrica       - 24m12  - 01
calculo 3a                             - engenharia de computacao  - 24m34  - 01
calculo numerico                       - engenharia de computacao  - 35m12  - 01
calculo numerico                       - engenharia eletrica       - 35m34  - 01
matematica discreta                    - engenharia de computacao  - 35m56  - 01
geometria analitica                    - engenharia eletrica       - 35m12  - 01
bioestatistica                         - nutricao                  - 6m123  - 01
probabilidade e estatistica a          - engenharia civil          - 46m56  - 01
calculo 2a                             - engenharia eletrica       - 246t12 - 01
calculo 2a                             - engenharia ambiental      - 246t34 - 01
calculo 3a                             - engenharia civil          - 24t56  - 01
calculo 1a                             - engenharia civil          - 246t12 - 01
calculo 1a                             - engenharia ambiental      - 246t34 - 01
geometria analitica                    - engenharia civil          - 46t34  - 01
algebra linear                         - engenharia de computacao  - 46t56  - 01
algebra linear                         - engenharia ambiental      - 24t12  - 01
calculo 2a                             - engenharia de computacao  - 246t34 - 01
algebra linear                         - engenharia eletrica       - 35t12  - 01
calculo numerico                       - engenharia civil          - 35t12  - 01
bioestatistica                         - biotecnologia             - 35t45  - 01
bioestatistica                         - farmacia                  - 46t23  - 01
bioestatistica                         - fisioterapia              - 46t45  - 01
bioestatistica 2                       - medicina                  - 4t12   - 01
probabilidade e estatistica a          - engenharia eletrica       - 46t34  - 01
bioestatistica 2                       - medicina                  - 6t12   - 01
estatistica 2                          - psicologia                - 24n23  - 01
probabilidade e estatistica a          - engenharia de computacao  - 24n45  - 01
calculo 1a                             - quimica                   - 246m23 - 02
calculo 1a                             - inteligencia artificial   - 246m45 - 02
calculo 2a                             - engenharia quimica        - 246m23 - 02
calculo 2a                             - ciencia da computacao     - 246m45 - 02
calculo 2a                             - engenharia de alimentos   - 246m23 - 02
algebra linear                         - quimica                   - 46m45  - 02
estatistica 1                          - gestao da informacao      - 246m23 - 02
probabilidade e estatistica b          - ciencias economicas       - 46m45  - 02
algebra linear                         - ciencia da computacao     - 24m23  - 02
algebra linear                         - ciencia da computacao     - 24m45  - 02
calculo 1b                             - quimica                   - 24m23  - 02
calculo numerico                       - ciencia da computacao     - 24m45  - 02
calculo 2b                             - quimica                   - 24m23  - 02
edo                                    - ciencia da computacao     - 24m45  - 02
edo                                    - engenharia quimica        - 24m23  - 02
calculo numerico                       - ciencia da computacao     - 24m45  - 02
probabilidade e estatistica a          - ciencia da computacao     - 24m23  - 02
calculo 1c                             - ciencias contabeis        - 35m23  - 02
algebra linear                         - engenharia de alimentos   - 35m23  - 02
estatistica                            - quimica                   - 35m23  - 02
probabilidade e estatistica a          - engenharia quimica        - 35m23  - 02
introducao a probabilidade             - gestao da informacao      - 35m23  - 02
calculo 2b                             - ciencias economicas       - 46m23  - 02
calculo 1c                             - farmacia                  - 46m45  - 02
nocoes de atuaria                      - ciencias contabeis        - 6m23   - 02
probabilidade e estatistica a          - engenharia mecanica       - 24t12  - 02
calculo 2a                             - engenharia mecanica       - 246t34 - 02
calculo 2a                             - engenharia fisica         - 246t56 - 02
calculo 1a                             - fisica                    - 246t34 - 02
calculo 2a                             - fisica                    - 246t56 - 02
algebra linear                         - inteligencia artificial   - 24t23  - 02
calculo 2b                             - engenharia florestal      - 24t23  - 02
geometria analitica                    - ciencia da computacao     - 25t45  - 02
calculo 2b                             - agronomia                 - 46t23  - 02
calculo 2b                             - agronomia                 - 46t45  - 02
calculo 1b                             - agronomia                 - 25t23  - 02
calculo 1b                             - agronomia                 - 25t45  - 02
algebra linear                         - engenharia de materiais   - 35t12  - 02
algebra linear                         - fisica                    - 35t34  - 02
algebra linear                         - geologia                  - 35t12  - 02
algebra linear                         - engenharia fisica         - 35t34  - 02
calculo numerico                       - engenharia mecanica       - 35t12  - 02
algebra linear                         - engenharia mecanica       - 35t34  - 02
calculo numerico                       - engenharia de alimentos   - 36t23  - 02
calculo 3a                             - quimica                   - 35t45  - 02
calculo 1a                             - fisica                    - 246n23 - 02
algebra linear                         - sistemas de informacao    - 24n23  - 02
algebra linear                         - engenharia de software    - 24n45  - 02
probabilidade e estatistica a          - engenharia de software    - 24n23  - 02
probabilidade e estatistica a          - sistemas de informacao    - 24n45  - 02
probabilidade e estatistica            - engenharia de software    - 24n23  - 02
calculo 2b                             - administracao             - 35n23  - 02
calculo 2b                             - quimica                   - 35n45  - 02
calculo 1c                             - ciencias contabeis        - 35n23  - 02
calculo 1b                             - administracao             - 35n45  - 02
calculo 3a                             - fisica                    - 35n23  - 02
edo                                    - fisica                    - 35n45  - 02
calculo 2b                             - ciencias economicas       - 46n23  - 02
probabilidade e estatistica b          - ciencias economicas       - 46n45  - 02
estatistica descritiva e probabilidade - administracao             - 46n23  - 02
estatistica inferencial                - administracao             - 46n45  - 02
nocoes de atuaria                      - ciencias contabeis        - 6n23   - 02
