campus;curso;disciplina;horario;semestre
02;06;01;24m23;2024_2
02;06;01;24m45;2022_2
02;06;01;24m45;2023_1
02;06;01;24m45;2024_1
02;06;01;24m45;2024_2
02;10;01;24m23;2023_1
02;10;01;24m23;2024_1
02;10;01;24n45;2023_1
02;10;01;24n45;2024_1
01;12;01;24t12;2022_2
01;12;01;24t12;2024_2
01;13;01;24m34;2023_1
01;13;01;24m34;2024_1
01;13;01;24m34;2024_2
01;13;01;24m56;2022_2
02;14;01;35m23;2022_2
02;14;01;35m23;2024_2
01;15;01;24m56;2023_1
01;15;01;35n45;2022_2
01;15;01;46t56;2024_1
01;15;01;46t56;2024_2
03;16;01;24t23;2022_2
02;16;01;35t12;2024_2
03;17;01;24m45;2022_2
03;17;01;24m45;2024_2
02;18;01;24n45;2022_2
02;18;01;24n45;2024_2
03;19;01;24m23;2022_2
01;20;01;35t12;2022_2
01;20;01;35t12;2023_1
01;20;01;35t12;2024_1
01;20;01;35t12;2024_2
02;21;01;35t34;2024_2
02;23;01;24t34;2022_2
02;23;01;35t34;2024_2
02;26;01;24t12;2022_2
02;26;01;24t34;2022_2
02;26;01;35t34;2024_2
02;28;01;35t12;2024_2
02;30;01;24t23;2022_2
02;30;01;24t23;2024_2
02;34;01;46m45;2022_2
02;34;01;46m45;2023_1
02;34;01;46m45;2024_1
02;34;01;46m45;2024_2
02;37;01;24n23;2022_2
02;37;01;24n23;2024_2
01;05;02;35t45;2024_2
01;25;02;46t23;2022_2
01;25;02;46t23;2023_1
01;25;02;46t23;2024_1
01;25;02;46t23;2024_2
01;27;02;35t45;2022_2
01;27;02;46t45;2024_2
01;32;02;46t45;2022_2
01;32;02;46t45;2023_1
01;32;02;6m123;2024_1
01;32;02;6m123;2024_2
01;31;03;4t12;2023_1
01;31;03;4t12;2024_1
01;31;03;6t12;2023_1
01;31;03;6t12;2024_1
01;31;04;4t12;2022_2
01;31;04;4t12;2024_2
01;31;04;6t12;2022_2
01;31;04;6t12;2024_2
02;06;05;246m45;2022_2
02;06;05;246m45;2023_1
01;12;05;246t34;2023_1
01;12;05;246t34;2024_1
01;12;05;246t34;2024_2
01;13;05;246t12;2022_2
01;13;05;246t12;2023_1
01;13;05;246t12;2024_1
01;13;05;246t12;2024_2
02;14;05;246m23;2023_1
02;14;05;246m23;2024_1
01;15;05;246m34;2022_2
01;15;05;246m34;2023_1
01;15;05;246m34;2024_1
01;15;05;246m34;2024_2
01;15;05;246n23;2023_1
03;16;05;246m23;2023_1
03;16;05;246m45;2023_1
03;16;05;246t12;2024_1
03;16;05;246t12;2024_2
03;16;05;246t23;2022_2
03;16;05;246t23;2023_1
03;16;05;246t34;2024_1
03;16;05;246t45;2022_2
03;16;05;246t45;2023_1
02;18;05;246n23;2023_1
02;18;05;246n23;2024_1
01;20;05;246m12;2022_2
01;20;05;246m12;2023_1
01;20;05;246m12;2024_1
01;20;05;246m12;2024_2
02;23;05;246t12;2023_1
02;23;05;246t34;2024_1
02;24;05;246m23;2024_1
02;26;05;246m45;2022_2
02;26;05;246n23;2022_2
02;26;05;246n23;2024_2
02;26;05;246t34;2023_1
02;26;05;246t34;2024_2
02;26;05;246t56;2023_1
02;26;05;246t56;2024_1
03;28;05;246t34;2024_2
02;30;05;246m23;2022_2
02;30;05;246m45;2024_2
02;34;05;246m23;2023_1
02;34;05;246m23;2024_1
02;34;05;246m23;2024_2
02;34;05;246m45;2022_2
02;37;05;246n45;2023_1
02;37;05;246n45;2024_1
02;01;06;35n45;2022_2
02;01;06;35n45;2023_1
02;01;06;35n45;2024_1
02;01;06;35n45;2024_2
02;02;06;25t23;2022_2
02;02;06;25t23;2023_1
02;02;06;25t23;2024_1
02;02;06;25t23;2024_2
02;02;06;25t45;2022_2
02;02;06;25t45;2023_1
02;02;06;25t45;2024_1
02;02;06;25t45;2024_2
02;10;06;35n23;2023_1
02;10;06;35n23;2024_1
02;10;06;46m23;2023_1
02;10;06;46m23;2024_1
02;22;06;46m45;2023_1
02;22;06;46m45;2024_1
02;34;06;24m23;2022_2
02;34;06;24m23;2024_2
02;34;06;35n45;2023_1
02;34;06;35n45;2024_1
02;34;06;46m23;2023_1
02;34;06;46m23;2024_1
02;03;07;35t23;2024_1
02;03;07;35t45;2023_1
02;04;07;35t45;2024_1
02;04;07;46t23;2023_1
02;05;07;46t45;2023_1
02;05;07;46t45;2024_1
02;07;07;46t23;2023_1
02;07;07;46t23;2024_1
02;08;07;24t45;2023_1
02;08;07;24t45;2024_1
02;09;07;35m23;2024_2
02;09;07;35m45;2022_2
02;09;07;35n23;2022_2
02;09;07;35n23;2024_2
02;25;07;46m45;2022_2
02;25;07;46m45;2023_1
02;25;07;46m45;2024_1
02;25;07;46m45;2024_2
02;38;07;24t23;2023_1
02;38;07;24t23;2024_1
02;06;08;246m45;2022_2
02;06;08;246m45;2023_1
02;06;08;246m45;2024_1
02;06;08;246m45;2024_2
01;12;08;246t34;2022_2
01;12;08;246t34;2024_2
01;13;08;246m12;2022_2
01;13;08;246m12;2023_1
01;13;08;246m12;2024_1
01;13;08;246m12;2024_2
02;14;08;246m23;2022_2
02;14;08;246m23;2024_2
01;15;08;246m34;2023_1
01;15;08;246n23;2022_2
01;15;08;246t34;2024_1
01;15;08;246t34;2024_2
03;16;08;246t23;2022_2
03;16;08;246t45;2022_2
03;17;08;246t12;2024_2
03;19;08;246t34;2024_2
01;20;08;246t12;2022_2
01;20;08;246t12;2023_1
01;20;08;246t12;2024_1
01;20;08;246t12;2024_2
02;21;08;246t56;2024_2
02;23;08;246t12;2022_2
02;23;08;246t34;2024_2
02;24;08;246m23;2024_2
02;26;08;246n23;2023_1
02;26;08;246n23;2024_1
02;26;08;246t12;2022_2
02;26;08;246t34;2022_2
02;26;08;246t56;2024_2
02;34;08;246m23;2022_2
02;34;08;246m23;2023_1
02;34;08;246m23;2024_1
02;01;09;35n23;2022_2
02;01;09;35n23;2023_1
02;01;09;35n23;2024_1
02;01;09;35n23;2024_2
02;02;09;46t23;2022_2
02;02;09;46t23;2023_1
02;02;09;46t23;2024_1
02;02;09;46t23;2024_2
02;02;09;46t45;2022_2
02;02;09;46t45;2023_1
02;02;09;46t45;2024_1
02;02;09;46t45;2024_2
02;10;09;46m23;2022_2
02;10;09;46m23;2024_2
02;10;09;46n23;2022_2
02;10;09;46n23;2024_2
02;22;09;24t23;2022_2
02;22;09;24t23;2024_2
02;34;09;24m23;2022_2
02;34;09;24m23;2024_2
02;34;09;35n45;2022_2
02;34;09;35n45;2024_2
02;34;09;46m23;2023_1
02;34;09;46m23;2024_1
01;20;10;24m12;2023_1
01;20;10;24m12;2024_1
01;13;11;24t12;2022_2
01;13;11;24t34;2023_1
01;13;11;24t56;2024_1
01;13;11;24t56;2024_2
02;14;11;35m23;2023_1
02;14;11;35m23;2024_1
01;15;11;24m34;2022_2
01;15;11;24m34;2024_1
01;15;11;24m34;2024_2
01;15;11;35n45;2023_1
03;16;11;24m45;2023_1
03;16;11;24m45;2024_1
01;20;11;24m12;2022_2
01;20;11;24m12;2024_2
02;23;11;24t34;2023_1
02;23;11;24t34;2024_1
02;24;11;35t23;2024_1
02;26;11;24t56;2023_1
02;26;11;24t56;2024_1
02;26;11;35n23;2022_2
02;26;11;35n23;2024_2
